GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 6 years:,Margin of Error; Under 6 years:,Estimate; Under 6 years: - Living with two parents:,Margin of Error; Under 6 years: - Living with two parents:,Estimate; Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Under 6 years: - Living with one parent:,Margin of Error; Under 6 years: - Living with one parent:,Estimate; Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Under 6 years: - Living with one parent: - Living with father:,Estimate; Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Under 6 years: - Living with one parent: - Living with mother:,Estimate; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; 6 to 17 years:,Margin of Error; 6 to 17 years:,Estimate; 6 to 17 years: - Living with two parents:,Margin of Error; 6 to 17 years: - Living with two parents:,Estimate; 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; 6 to 17 years: - Living with one parent:,Margin of Error; 6 to 17 years: - Living with one parent:,Estimate; 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father:,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,793333,1369,242112,1538,171985,2229,103693,2249,62242,1853,3905,450,2145,392,70127,1867,12979,1063,11787,1049,1192,272,57148,1770,44684,1748,12464,1049,551221,1809,386422,3249,271073,3880,98640,2847,12216,984,4493,676,164799,2952,28519,1515,26132,1435,2387,325,136280,2706,114320,2709,21960,1576
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4304,342,1330,237,1103,199,442,123,647,188,0,123,14,22,227,145,110,125,110,125,0,123,117,80,117,80,0,123,2974,344,2368,319,1373,255,907,248,64,82,24,28,606,197,159,104,159,104,0,123,447,171,386,141,61,89
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",34516,1113,11481,680,5367,552,3112,430,2068,444,142,80,45,47,6114,545,873,274,793,268,80,68,5241,559,3642,459,1599,367,23035,890,10349,832,6491,748,2710,551,773,322,375,164,12686,875,1833,444,1677,421,156,103,10853,902,9058,866,1795,466
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3962,214,1070,217,954,220,496,163,415,164,43,51,0,123,116,60,27,30,27,30,0,123,89,49,89,49,0,123,2892,254,2445,289,1827,307,546,205,72,66,0,123,447,139,168,98,140,88,28,42,279,106,254,105,25,29
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",16052,744,6178,632,4414,518,2278,323,1895,431,172,120,69,71,1764,376,538,204,439,195,99,121,1226,343,1013,315,213,175,9874,676,7198,701,5043,556,1915,377,157,76,83,65,2676,549,361,147,318,145,43,58,2315,532,2137,529,178,114
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7415,202,1994,282,1947,276,607,165,1340,289,0,123,0,123,47,47,6,9,6,9,0,123,41,43,36,41,5,10,5421,345,4676,375,1808,280,2726,315,99,80,43,67,745,234,58,50,58,50,0,123,687,237,283,115,404,219
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2187,104,509,115,494,113,184,98,310,112,0,123,0,123,15,23,15,23,15,23,0,123,0,123,0,123,0,123,1678,147,1503,154,1009,176,411,151,72,77,11,17,175,149,15,22,15,22,0,123,160,150,82,83,78,123
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14365,460,4520,357,4222,341,2070,321,2034,327,49,49,69,91,298,112,45,38,45,38,0,123,253,110,223,106,30,34,9845,476,8501,490,4823,482,3461,428,195,112,22,26,1344,303,313,150,196,93,117,112,1031,248,898,244,133,89
