GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 6 years:,Margin of Error; Under 6 years:,Estimate; Under 6 years: - Living with two parents:,Margin of Error; Under 6 years: - Living with two parents:,Estimate; Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Under 6 years: - Living with one parent:,Margin of Error; Under 6 years: - Living with one parent:,Estimate; Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Under 6 years: - Living with one parent: - Living with father:,Estimate; Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Under 6 years: - Living with one parent: - Living with mother:,Estimate; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; 6 to 17 years:,Margin of Error; 6 to 17 years:,Estimate; 6 to 17 years: - Living with two parents:,Margin of Error; 6 to 17 years: - Living with two parents:,Estimate; 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; 6 to 17 years: - Living with one parent:,Margin of Error; 6 to 17 years: - Living with one parent:,Estimate; 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father:,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,786545,1620,248090,1372,179222,1934,105516,2135,65917,1791,4892,621,2897,605,68868,1983,12952,1079,11724,1029,1228,305,55916,1780,43773,1818,12143,1105,538455,1781,380920,3472,263387,3246,99387,2434,12687,963,5459,635,157535,3039,27169,1402,24710,1386,2459,421,130366,2915,108509,2979,21857,1522
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4242,393,1268,225,1009,207,499,159,492,174,8,14,10,16,259,135,88,90,88,90,0,123,171,91,171,91,0,123,2974,365,2348,317,1360,265,904,244,65,85,19,21,626,209,166,91,166,91,0,123,460,181,384,156,76,115
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",33340,922,11720,726,4999,550,2994,411,1773,422,150,117,82,67,6721,642,923,289,872,280,51,52,5798,584,4089,499,1709,420,21620,889,9659,722,5972,528,2564,491,779,315,344,189,11961,913,1541,412,1460,411,81,60,10420,854,8718,853,1702,374
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4306,227,1025,252,919,237,428,160,448,180,43,48,0,123,106,62,16,26,16,26,0,123,90,56,90,56,0,123,3281,298,2559,345,1891,355,625,217,43,49,0,123,722,409,150,86,122,73,28,43,572,385,572,385,0,123
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15895,709,6174,584,4490,514,2380,383,1860,432,196,150,54,53,1684,423,518,227,393,186,125,126,1166,374,986,317,180,197,9721,657,7092,633,4889,626,1983,339,153,85,67,59,2629,445,387,172,339,161,48,59,2242,392,2014,375,228,121
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7384,208,2265,259,2178,248,632,155,1546,249,0,123,0,123,87,55,30,35,30,35,0,123,57,38,37,41,20,22,5119,312,4303,307,1683,253,2460,303,111,73,49,63,816,276,71,52,71,52,0,123,745,273,319,130,426,233
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2091,123,445,120,429,115,211,90,218,74,0,123,0,123,16,23,16,23,16,23,0,123,0,123,0,123,0,123,1646,159,1452,145,859,146,516,144,69,80,8,13,194,148,40,42,15,22,25,39,154,144,68,65,86,132
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",13522,507,4290,360,3931,350,1775,295,2032,298,75,62,49,64,359,137,42,36,42,36,0,123,317,132,261,127,56,43,9232,440,8022,455,4451,488,3219,342,287,160,65,53,1210,286,249,118,187,96,62,76,961,255,791,208,170,104
