GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 6 years:,Margin of Error; Under 6 years:,Estimate; Under 6 years: - Living with two parents:,Margin of Error; Under 6 years: - Living with two parents:,Estimate; Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Under 6 years: - Living with one parent:,Margin of Error; Under 6 years: - Living with one parent:,Estimate; Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Under 6 years: - Living with one parent: - Living with father:,Estimate; Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Under 6 years: - Living with one parent: - Living with mother:,Estimate; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; 6 to 17 years:,Margin of Error; 6 to 17 years:,Estimate; 6 to 17 years: - Living with two parents:,Margin of Error; 6 to 17 years: - Living with two parents:,Estimate; 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; 6 to 17 years: - Living with one parent:,Margin of Error; 6 to 17 years: - Living with one parent:,Estimate; 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father:,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,783752,1492,236010,1577,161500,2126,102166,2312,54300,1735,3652,435,1382,374,74510,2117,13995,1218,12705,1120,1290,311,60515,1893,47746,1625,12769,926,547742,1754,379848,3416,269148,3662,96604,2716,10485,747,3611,563,167894,3351,29823,1575,27521,1530,2302,436,138071,3434,117608,3194,20463,1522
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4357,272,1386,243,1100,205,474,138,600,195,26,32,0,19,286,140,72,106,72,106,0,19,214,107,204,107,10,15,2971,264,2417,276,1615,265,777,249,17,18,8,12,554,210,117,90,117,90,0,19,437,183,352,154,85,94
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",35036,1161,11950,667,5542,636,3421,454,1864,382,201,107,56,62,6408,554,1057,270,991,263,66,50,5351,540,3908,508,1443,311,23086,940,9820,777,6824,737,2243,465,627,262,126,110,13266,992,1996,474,1791,440,205,134,11270,960,9544,809,1726,536
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3867,254,974,259,902,247,444,128,404,223,54,64,0,19,72,60,10,16,10,16,0,19,62,57,62,57,0,19,2893,232,2478,270,1905,277,513,187,60,65,0,19,415,197,98,85,98,85,0,19,317,177,292,178,25,29
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15710,657,5577,583,3851,470,2442,398,1282,288,113,117,14,21,1726,359,480,215,475,215,5,10,1246,306,1033,315,213,144,10133,641,7055,664,5266,659,1619,368,127,71,43,46,3078,524,304,144,270,124,34,56,2774,522,2565,508,209,142
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7455,251,1935,219,1875,219,594,162,1255,199,26,30,0,23,60,42,7,11,7,11,0,23,53,40,37,33,16,23,5520,300,4936,307,1915,334,2846,408,59,59,116,95,584,199,67,57,42,41,25,40,517,183,249,112,268,152
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2097,145,507,145,475,143,145,72,330,132,0,17,0,17,32,31,15,16,15,16,0,17,17,29,17,29,0,17,1590,173,1413,154,826,209,568,175,0,17,19,22,177,140,48,44,48,44,0,17,129,136,41,32,88,133
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14898,425,4131,378,3875,390,2166,336,1648,304,61,58,0,29,256,100,33,44,33,44,0,29,223,88,134,63,89,63,10767,492,9141,485,5344,401,3633,400,121,91,43,51,1626,289,259,129,192,95,67,79,1367,300,1085,296,282,146
