GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,755617,1396,225910,1548,151832,1899,98521,2368,48099,1620,3925,506,1287,291,74078,1749,14733,975,13284,903,1449,384,59345,1856,46639,1721,12706,1037,529707,1699,360749,3564,254492,3593,90375,2593,11580,910,4302,634,168958,3257,31693,1598,28860,1484,2833,512,137265,2979,117479,3124,19786,1295
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4259,272,1022,190,741,198,447,140,271,129,23,25,0,19,281,132,62,76,62,76,0,19,219,112,195,107,24,27,3237,341,2408,255,1756,313,629,176,23,22,0,19,829,268,154,111,154,111,0,19,675,237,492,169,183,158
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",33741,979,12142,606,5117,554,3151,440,1536,310,328,178,102,81,7025,602,1201,307,1159,310,42,38,5824,573,4696,521,1128,264,21599,825,9227,763,6594,598,1928,414,515,237,190,132,12372,779,1930,507,1765,499,165,111,10442,763,9117,752,1325,353
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4048,364,997,250,887,238,593,195,272,205,22,32,0,19,110,94,52,83,52,83,0,19,58,48,58,48,0,19,3051,315,2661,263,1918,305,642,232,90,75,11,17,390,200,73,81,73,81,0,19,317,186,305,183,12,18
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",16636,744,5676,502,3703,374,2578,352,1075,325,16,18,34,48,1973,410,545,235,539,234,6,10,1428,344,1157,349,271,177,10960,682,7285,602,5446,594,1661,423,91,68,87,82,3675,527,848,368,791,361,57,82,2827,441,2495,404,332,206
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7216,297,1914,261,1852,254,655,158,1171,246,26,33,0,22,62,48,0,22,0,22,0,22,62,48,62,48,0,22,5302,367,4770,383,2199,307,2382,301,82,58,107,98,532,178,169,120,147,107,22,34,363,137,246,108,117,77
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1909,163,406,106,324,106,145,73,179,103,0,17,0,17,82,56,33,40,33,40,0,17,49,38,49,38,0,17,1503,168,1257,152,723,162,520,173,0,17,14,22,246,124,120,69,120,69,0,17,126,104,96,96,30,46
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14945,434,4316,407,3989,420,2449,436,1497,262,43,59,0,28,327,121,66,50,66,50,0,28,261,109,175,87,86,64,10629,436,9318,465,5623,433,3464,447,159,71,72,65,1311,269,398,125,390,126,8,12,913,253,764,241,149,82
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15951,517,5465,478,4979,476,2025,408,2793,357,115,84,46,38,486,180,73,63,73,63,0,28,413,166,339,157,74,51,10486,434,8765,448,3748,430,4469,451,362,181,186,87,1721,270,378,145,369,143,9,14,1343,237,1113,208,230,112
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",4979,274,1088,252,948,275,648,218,226,142,74,81,0,19,140,95,65,63,65,63,0,19,75,78,21,27,54,75,3891,369,2821,351,2125,411,588,231,82,85,26,42,1070,410,418,200,418,200,0,19,652,315,563,284,89,92
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6407,252,1555,253,1332,239,517,195,694,187,53,53,68,62,223,123,18,30,18,30,0,22,205,120,151,102,54,60,4852,346,4357,338,1519,368,2466,335,100,64,272,176,495,235,170,138,170,138,0,22,325,185,232,174,93,70
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3239,229,738,176,585,155,429,156,156,64,0,19,0,19,153,102,12,19,12,19,0,19,141,97,141,97,0,19,2501,252,2112,283,1407,238,636,243,59,43,10,16,389,175,146,118,146,118,0,19,243,119,236,120,7,11
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7120,301,1558,262,1418,249,887,226,503,148,28,32,0,22,140,79,17,20,17,20,0,22,123,79,108,77,15,23,5562,356,4727,366,3037,396,1555,324,116,73,19,21,835,211,219,112,197,106,22,22,616,188,511,165,105,100
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",16291,656,5561,498,4204,434,2546,372,1580,378,78,65,0,28,1357,295,146,100,146,100,0,28,1211,292,1044,268,167,108,10730,583,7012,529,4916,451,1878,403,162,112,56,69,3718,558,606,218,569,215,37,38,3112,504,2770,481,342,172
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2141,176,547,139,455,140,280,124,118,57,48,60,9,14,92,91,0,17,0,17,0,17,92,91,37,52,55,78,1594,189,1266,178,778,162,426,130,48,33,14,24,328,156,33,37,33,37,0,17,295,154,251,148,44,51
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",7482,294,1412,243,1273,237,639,202,612,194,0,22,22,34,139,102,47,46,47,46,0,22,92,87,92,87,0,22,6070,345,5207,348,2741,324,2222,379,164,95,80,94,863,269,274,155,267,155,7,11,589,232,499,206,90,92
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",7545,342,1917,317,1429,236,954,231,463,161,12,22,0,25,488,228,96,58,76,52,20,30,392,224,324,210,68,76,5628,407,4381,401,2900,414,1352,299,80,63,49,56,1247,313,251,119,193,97,58,82,996,271,884,265,112,88
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",738,113,175,85,175,85,58,48,117,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,563,117,514,113,450,122,55,45,9,14,0,12,49,56,0,12,0,12,0,12,49,56,49,56,0,12
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",26779,991,9769,746,7375,692,4477,630,2828,376,70,68,0,28,2394,430,507,165,483,163,24,28,1887,408,1442,368,445,219,17010,707,11571,704,7335,537,4057,525,154,94,25,32,5439,716,790,283,755,277,35,42,4649,684,4117,692,532,205
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",9493,497,2486,341,1865,291,1351,254,466,143,48,45,0,28,621,200,176,111,124,100,52,47,445,168,347,139,98,83,7007,490,4555,498,3328,445,1011,213,190,128,26,30,2452,395,522,150,470,150,52,35,1930,370,1689,357,241,131
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",9197,412,2295,307,1917,303,1337,236,572,209,0,25,8,13,378,136,69,45,69,45,0,25,309,125,309,125,0,25,6902,445,5769,390,4146,389,1494,294,129,97,0,25,1133,292,275,149,225,137,50,71,858,233,818,227,40,42
