GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0400000US09,09,Connecticut,776593,1227,233669,1215,158163,2138,101087,1958,51855,1684,3913,457,1308,356,75506,1864,13455,1041,12068,979,1387,358,62051,1765,48838,1636,13213,1222,542924,1405,373497,2893,266232,3310,92715,2691,11078,940,3472,543,169427,2886,31059,1945,28133,1835,2926,562,138368,2633,117803,2850,20565,1458
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4316,265,1325,230,1122,205,500,219,591,180,31,34,0,19,203,121,8,13,8,13,0,19,195,119,184,116,11,16,2991,229,2297,260,1704,267,565,176,18,19,10,16,694,200,168,106,168,106,0,19,526,167,430,158,96,95
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",34839,1079,12304,681,5970,545,3460,396,2112,407,316,161,82,70,6334,598,860,240,770,244,90,61,5474,587,4134,488,1340,345,22535,902,9622,882,6753,774,2306,445,463,242,100,75,12913,939,1630,456,1400,431,230,139,11283,891,9699,900,1584,427
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3768,301,927,248,840,264,442,133,337,223,61,67,0,19,87,54,11,17,11,17,0,19,76,50,76,50,0,19,2841,236,2387,229,1810,265,513,222,64,57,0,19,454,203,70,55,70,55,0,19,384,199,358,200,26,26
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15925,660,5672,496,3606,428,2339,361,1151,336,45,38,71,83,2066,382,565,232,559,233,6,9,1501,394,1188,357,313,180,10253,591,6951,617,5244,672,1496,412,122,79,89,67,3302,427,491,231,428,220,63,81,2811,423,2612,431,199,125
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7421,254,2032,263,1967,259,735,179,1205,240,27,28,0,22,65,49,6,14,6,14,0,22,59,47,42,39,17,25,5389,320,4838,332,2245,342,2479,380,28,32,86,86,551,176,67,55,43,41,24,38,484,171,169,98,315,141
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2044,154,407,109,343,98,128,65,215,102,0,17,0,17,64,54,47,49,47,49,0,17,17,20,17,20,0,17,1637,154,1422,150,868,187,543,178,0,17,11,16,215,109,103,66,103,66,0,17,112,83,91,80,21,34
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",15283,471,4315,395,4043,402,2272,316,1761,306,10,14,0,28,272,119,24,32,24,32,0,28,248,114,170,84,78,81,10968,560,9331,575,5241,480,3870,397,143,82,77,81,1637,339,355,147,310,130,45,66,1282,297,1045,262,237,148
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",16354,556,5215,487,4698,480,1662,297,2976,436,53,49,7,12,517,156,71,59,71,59,0,28,446,150,385,146,61,49,11139,498,9563,463,4129,494,4977,440,340,202,117,64,1576,332,301,129,289,127,12,17,1275,300,1048,266,227,109
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",5143,274,1166,205,1032,214,492,174,497,170,43,52,0,19,134,106,104,100,104,100,0,19,30,35,30,35,0,19,3977,321,3146,301,2139,335,938,229,69,64,0,19,831,262,345,193,345,193,0,19,486,209,456,203,30,47
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6356,291,1481,240,1283,250,432,146,787,211,10,15,54,66,198,136,0,22,0,22,0,22,198,136,121,99,77,97,4875,310,4436,333,1494,288,2682,336,63,58,197,159,439,202,53,67,53,67,0,22,386,195,276,181,110,103
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3456,200,755,170,606,146,394,153,200,77,12,19,0,19,149,77,9,14,9,14,0,19,140,74,140,74,0,19,2701,224,2383,225,1650,233,626,178,84,58,23,25,318,158,123,118,123,118,0,19,195,91,189,91,6,10
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",6966,372,1568,253,1327,203,923,204,365,108,39,38,0,22,241,118,19,19,19,19,0,22,222,117,174,111,48,56,5398,321,4787,284,3182,317,1518,299,65,57,22,32,611,199,155,95,149,93,6,11,456,180,353,145,103,109
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",16256,710,5848,567,4443,474,2513,338,1769,383,104,74,57,83,1405,325,192,119,192,119,0,28,1213,308,956,267,257,158,10408,673,6952,549,4946,436,1923,334,83,69,0,28,3456,530,434,179,434,179,0,28,3022,478,2636,426,386,172
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2417,222,662,204,574,191,380,156,128,66,66,92,0,17,88,91,0,17,0,17,0,17,88,91,32,37,56,77,1755,173,1364,182,950,184,361,125,37,30,16,24,391,170,63,60,63,60,0,17,328,163,287,151,41,47
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",7578,323,1501,233,1413,231,664,162,725,155,0,22,24,35,88,57,60,55,60,55,0,22,28,35,28,35,0,22,6077,377,5107,439,2705,415,2316,413,43,36,43,55,970,319,361,248,349,246,12,19,609,229,523,202,86,91
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",7592,433,1842,315,1535,303,996,227,521,183,18,29,0,25,307,139,59,53,43,41,16,25,248,126,217,111,31,49,5750,478,4635,529,3403,552,1148,326,57,63,27,42,1115,268,416,150,383,144,33,51,699,236,615,236,84,68
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",772,123,256,107,235,106,47,41,188,107,0,12,0,12,21,23,0,12,0,12,0,12,21,23,21,23,0,12,516,144,477,144,314,124,42,37,121,125,0,12,39,35,14,22,14,22,0,12,25,31,25,31,0,12
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",26602,1039,10203,711,7084,679,4356,544,2669,435,59,64,0,28,3119,522,621,276,543,262,78,113,2498,461,1674,400,824,344,16399,977,11323,925,7544,787,3358,616,393,171,28,34,5076,734,756,232,716,222,40,61,4320,709,3827,694,493,244
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",10163,439,2919,366,2390,340,1645,315,617,177,128,81,0,28,529,215,64,79,64,79,0,28,465,200,336,166,129,103,7244,420,4923,396,3587,426,1093,265,207,144,36,43,2321,427,466,144,385,131,81,49,1855,400,1775,384,80,73
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",9072,328,2339,318,2099,295,1362,226,728,222,0,25,9,12,240,104,64,45,64,45,0,25,176,96,176,96,0,25,6733,411,5773,403,4213,406,1435,265,98,79,27,31,960,259,140,82,129,79,11,18,820,233,775,222,45,49
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3464,175,618,128,609,128,254,106,355,126,0,19,0,19,9,14,0,19,0,19,0,19,9,14,9,14,0,19,2846,200,2658,219,1180,254,1471,253,7,11,0,19,188,79,96,65,96,65,0,19,92,59,92,59,0,19
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",7516,332,1752,241,1499,243,688,164,797,205,14,21,0,22,253,151,0,22,0,22,0,22,253,151,158,120,95,78,5764,310,5015,307,2069,323,2647,356,213,120,86,63,749,209,105,81,105,81,0,22,644,208,497,173,147,96
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",5923,268,1373,256,1325,259,507,150,782,247,36,46,0,19,48,33,24,23,24,23,0,19,24,26,24,26,0,19,4550,315,4154,316,1999,300,1988,323,96,71,71,54,396,136,83,51,68,45,15,22,313,126,266,109,47,57
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",4494,211,839,235,732,210,316,143,378,153,38,60,0,19,107,80,22,24,22,24,0,19,85,74,70,70,15,24,3655,256,3213,227,1963,250,1229,227,6,11,15,24,442,190,57,53,37,42,20,32,385,188,326,187,59,62
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",4295,262,1262,262,1137,269,911,271,226,124,0,22,0,22,125,79,27,30,27,30,0,22,98,73,76,66,22,26,3033,289,2579,287,2056,318,466,198,57,56,0,22,454,156,111,78,111,78,0,22,343,141,300,123,43,54
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",3023,266,908,220,546,210,481,202,65,62,0,22,0,22,362,140,31,34,31,34,0,22,331,137,300,132,31,49,2115,255,1127,255,952,247,112,83,63,63,0,22,988,248,352,181,337,185,15,24,636,205,567,198,69,52
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",12177,467,3795,510,2343,351,1834,313,371,129,88,73,50,77,1452,380,561,257,561,257,0,28,891,291,737,265,154,109,8382,454,5284,449,4106,422,828,289,243,130,107,97,3098,454,831,270,685,245,146,137,2267,424,2133,416,134,77
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",2531,169,600,135,489,125,366,113,123,78,0,17,0,17,111,73,12,18,12,18,0,17,99,69,72,57,27,31,1931,173,1568,192,1293,203,178,113,97,92,0,17,363,153,104,62,84,56,20,31,259,142,259,142,0,17
