GEO.id,GEO.id2,GEO.display-label,B23008_001E,B23008_001M,B23008_002E,B23008_002M,B23008_003E,B23008_003M,B23008_004E,B23008_004M,B23008_005E,B23008_005M,B23008_006E,B23008_006M,B23008_007E,B23008_007M,B23008_008E,B23008_008M,B23008_009E,B23008_009M,B23008_010E,B23008_010M,B23008_011E,B23008_011M,B23008_012E,B23008_012M,B23008_013E,B23008_013M,B23008_014E,B23008_014M,B23008_015E,B23008_015M,B23008_016E,B23008_016M,B23008_017E,B23008_017M,B23008_018E,B23008_018M,B23008_019E,B23008_019M,B23008_020E,B23008_020M,B23008_021E,B23008_021M,B23008_022E,B23008_022M,B23008_023E,B23008_023M,B23008_024E,B23008_024M,B23008_025E,B23008_025M,B23008_026E,B23008_026M,B23008_027E,B23008_027M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Under 6 years,Margin of Error!!Total!!Under 6 years,Estimate!!Total!!Under 6 years!!Living with two parents,Margin of Error!!Total!!Under 6 years!!Living with two parents,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents in labor force,Margin of Error!!Total!!Under 6 years!!Living with two parents!!Both parents in labor force,Estimate!!Total!!Under 6 years!!Living with two parents!!Father only in labor force,Margin of Error!!Total!!Under 6 years!!Living with two parents!!Father only in labor force,Estimate!!Total!!Under 6 years!!Living with two parents!!Mother only in labor force,Margin of Error!!Total!!Under 6 years!!Living with two parents!!Mother only in labor force,Estimate!!Total!!Under 6 years!!Living with two parents!!Neither parent in labor force,Margin of Error!!Total!!Under 6 years!!Living with two parents!!Neither parent in labor force,Estimate!!Total!!Under 6 years!!Living with one parent,Margin of Error!!Total!!Under 6 years!!Living with one parent,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with father,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!In labor force,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with father!!In labor force,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!Not in labor force,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with father!!Not in labor force,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with mother,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!In labor force,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with mother!!In labor force,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!Not in labor force,Margin of Error!!Total!!Under 6 years!!Living with one parent!!Living with mother!!Not in labor force,Estimate!!Total!!6 to 17 years,Margin of Error!!Total!!6 to 17 years,Estimate!!Total!!6 to 17 years!!Living with two parents,Margin of Error!!Total!!6 to 17 years!!Living with two parents,Estimate!!Total!!6 to 17 years!!Living with two parents!!Both parents in labor force,Margin of Error!!Total!!6 to 17 years!!Living with two parents!!Both parents in labor force,Estimate!!Total!!6 to 17 years!!Living with two parents!!Father only in labor force,Margin of Error!!Total!!6 to 17 years!!Living with two parents!!Father only in labor force,Estimate!!Total!!6 to 17 years!!Living with two parents!!Mother only in labor force,Margin of Error!!Total!!6 to 17 years!!Living with two parents!!Mother only in labor force,Estimate!!Total!!6 to 17 years!!Living with two parents!!Neither parent in labor force,Margin of Error!!Total!!6 to 17 years!!Living with two parents!!Neither parent in labor force,Estimate!!Total!!6 to 17 years!!Living with one parent,Margin of Error!!Total!!6 to 17 years!!Living with one parent,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with father,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with father,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with father!!In labor force,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with father!!In labor force,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with father!!Not in labor force,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with father!!Not in labor force,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with mother,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with mother,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with mother!!In labor force,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with mother!!In labor force,Estimate!!Total!!6 to 17 years!!Living with one parent!!Living with mother!!Not in labor force,Margin of Error!!Total!!6 to 17 years!!Living with one parent!!Living with mother!!Not in labor force
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",3441,281,1202,256,1027,252,634,164,393,238,0,19,0,19,175,96,67,47,67,47,0,19,108,93,101,91,7,13,2239,278,1404,234,1214,249,171,99,19,21,0,19,835,272,226,157,226,157,0,19,609,204,542,203,67,75
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",1131,257,290,157,255,151,105,82,150,140,0,17,0,17,35,38,23,36,23,36,0,17,12,18,0,17,12,18,841,185,748,206,538,188,210,167,0,17,0,17,93,103,64,99,64,99,0,17,29,37,20,34,9,16
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",3075,283,808,179,474,112,353,106,121,75,0,19,0,19,334,144,122,74,122,74,0,19,212,116,65,48,147,102,2267,239,1500,235,1056,180,406,130,38,39,0,19,767,225,174,95,174,95,0,19,593,217,414,196,179,103
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",8023,493,2554,382,1219,279,1015,269,193,119,11,19,0,26,1335,347,152,118,152,118,0,26,1183,333,908,289,275,175,5469,481,2679,411,2044,392,474,187,161,110,0,26,2790,514,400,203,400,203,0,26,2390,539,2138,532,252,159
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",3032,205,601,112,450,108,313,96,137,64,0,19,0,19,151,71,28,28,28,28,0,19,123,69,74,42,49,61,2431,205,1703,214,1273,196,358,141,59,32,13,25,728,162,196,145,190,145,6,9,532,157,463,153,69,51
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",505,93,120,49,83,50,33,26,41,45,9,13,0,12,37,25,8,10,8,10,0,12,29,25,23,24,6,9,385,69,270,73,133,63,133,76,4,7,0,12,115,52,14,15,14,15,0,12,101,49,97,48,4,6
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",795,88,206,89,189,86,155,80,34,42,0,12,0,12,17,20,11,17,11,17,0,12,6,10,6,10,0,12,589,97,437,102,406,112,31,35,0,12,0,12,152,67,7,11,7,11,0,12,145,66,145,66,0,12
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",3214,266,930,254,546,175,394,145,24,26,128,116,0,19,384,196,93,69,80,66,13,22,291,190,276,189,15,26,2284,274,1383,281,905,243,367,142,111,85,0,19,901,289,220,113,207,117,13,22,681,285,541,259,140,123
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",401,80,122,64,118,62,76,35,42,52,0,12,0,12,4,9,4,9,4,9,0,12,0,12,0,12,0,12,279,55,181,54,161,53,20,17,0,12,0,12,98,50,63,37,53,34,10,15,35,33,35,33,0,12
