GEO.id,GEO.id2,GEO.display-label,B23008_001E,B23008_001M,B23008_002E,B23008_002M,B23008_003E,B23008_003M,B23008_004E,B23008_004M,B23008_005E,B23008_005M,B23008_006E,B23008_006M,B23008_007E,B23008_007M,B23008_008E,B23008_008M,B23008_009E,B23008_009M,B23008_010E,B23008_010M,B23008_011E,B23008_011M,B23008_012E,B23008_012M,B23008_013E,B23008_013M,B23008_014E,B23008_014M,B23008_015E,B23008_015M,B23008_016E,B23008_016M,B23008_017E,B23008_017M,B23008_018E,B23008_018M,B23008_019E,B23008_019M,B23008_020E,B23008_020M,B23008_021E,B23008_021M,B23008_022E,B23008_022M,B23008_023E,B23008_023M,B23008_024E,B23008_024M,B23008_025E,B23008_025M,B23008_026E,B23008_026M,B23008_027E,B23008_027M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Under 6 years:,Margin of Error!!Total:!!Under 6 years:,Estimate!!Total:!!Under 6 years:!!Living with two parents:,Margin of Error!!Total:!!Under 6 years:!!Living with two parents:,Estimate!!Total:!!Under 6 years:!!Living with two parents:!!Both parents in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with two parents:!!Both parents in labor force,Estimate!!Total:!!Under 6 years:!!Living with two parents:!!Father only in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with two parents:!!Father only in labor force,Estimate!!Total:!!Under 6 years:!!Living with two parents:!!Mother only in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with two parents:!!Mother only in labor force,Estimate!!Total:!!Under 6 years:!!Living with two parents:!!Neither parent in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with two parents:!!Neither parent in labor force,Estimate!!Total:!!Under 6 years:!!Living with one parent:,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:!!In labor force,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:!!In labor force,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:!!Not in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with father:!!Not in labor force,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:!!In labor force,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:!!In labor force,Estimate!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:!!Not in labor force,Margin of Error!!Total:!!Under 6 years:!!Living with one parent:!!Living with mother:!!Not in labor force,Estimate!!Total:!!6 to 17 years:,Margin of Error!!Total:!!6 to 17 years:,Estimate!!Total:!!6 to 17 years:!!Living with two parents:,Margin of Error!!Total:!!6 to 17 years:!!Living with two parents:,Estimate!!Total:!!6 to 17 years:!!Living with two parents:!!Both parents in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with two parents:!!Both parents in labor force,Estimate!!Total:!!6 to 17 years:!!Living with two parents:!!Father only in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with two parents:!!Father only in labor force,Estimate!!Total:!!6 to 17 years:!!Living with two parents:!!Mother only in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with two parents:!!Mother only in labor force,Estimate!!Total:!!6 to 17 years:!!Living with two parents:!!Neither parent in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with two parents:!!Neither parent in labor force,Estimate!!Total:!!6 to 17 years:!!Living with one parent:,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:!!In labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:!!In labor force,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:!!Not in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with father:!!Not in labor force,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:!!In labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:!!In labor force,Estimate!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:!!Not in labor force,Margin of Error!!Total:!!6 to 17 years:!!Living with one parent:!!Living with mother:!!Not in labor force
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4246,399,1319,219,943,204,671,175,196,103,68,110,8,16,376,178,262,169,262,169,0,19,114,78,101,74,13,21,2927,447,2150,278,1499,208,614,208,28,33,9,16,777,442,383,373,383,373,0,19,394,190,281,121,113,128
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",31935,1070,10408,659,4244,510,2557,440,1345,308,275,166,67,67,6164,562,1096,259,1033,255,63,65,5068,555,4137,526,931,247,21527,1013,9819,817,6939,728,2090,391,531,206,259,148,11708,914,1784,351,1669,355,115,90,9924,920,8180,760,1744,492
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3806,343,955,206,921,211,660,184,231,118,30,46,0,19,34,38,0,19,0,19,0,19,34,38,17,27,17,28,2851,296,2385,287,1736,314,515,170,113,94,21,35,466,164,63,54,63,54,0,19,403,158,382,154,21,25
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",16262,754,6004,645,3507,519,2274,433,1082,303,91,77,60,61,2497,397,851,278,851,278,0,29,1646,348,1570,344,76,71,10258,729,6594,670,4717,601,1602,433,247,151,28,45,3664,581,528,186,508,186,20,31,3136,535,2669,560,467,235
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7292,235,1779,238,1715,231,836,186,879,239,0,23,0,23,64,56,11,16,11,16,0,23,53,55,53,55,0,23,5513,295,4950,291,2261,335,2601,309,82,63,6,9,563,157,196,103,196,103,0,23,367,132,321,131,46,42
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1616,196,272,101,239,100,176,89,57,52,6,10,0,17,33,35,0,17,0,17,0,17,33,35,15,20,18,29,1344,180,1221,185,793,158,312,123,36,37,80,101,123,65,12,20,12,20,0,17,111,67,111,67,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14033,420,3844,361,3504,355,2386,303,1077,280,25,28,16,24,340,130,106,51,106,51,0,29,234,115,164,89,70,54,10189,441,8628,500,5704,465,2539,345,259,128,126,88,1561,295,493,164,464,165,29,26,1068,254,933,243,135,88
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15773,552,4217,463,3754,413,2045,297,1589,330,50,42,70,50,463,179,111,73,94,65,17,23,352,168,234,131,118,73,11556,472,9421,499,4088,498,4974,389,194,106,165,111,2135,361,552,211,506,203,46,62,1583,321,1396,323,187,91
